signal	P(dit) 	P(dah)	P(spc)	P(chrspc)	P(wrdspc)	P(pause)
0.170399	0.000149	0.000122	0.580573	0.407740	0.000568	0.010848
0.141481	0.548295	0.448638	0.001424	0.001598	0.000002	0.000043
0.416570	0.537861	0.462139	0.000000	0.000000	0.000000	0.000000
0.604279	0.547872	0.452128	0.000000	0.000000	0.000000	0.000000
0.671273	0.431140	0.568860	0.000000	0.000000	0.000000	0.000000
0.675355	0.222908	0.776927	0.000096	0.000055	0.000011	0.000002
0.428787	0.002482	0.015383	0.570884	0.329987	0.066759	0.014506
0.149783	0.000127	0.000239	0.590683	0.357659	0.042133	0.009159
0.146764	0.003344	0.002769	0.592017	0.344299	0.047291	0.010281
0.188354	0.005565	0.004574	0.474672	0.441354	0.060650	0.013185
0.160805	0.008635	0.007098	0.254535	0.625066	0.085975	0.018691
0.127789	0.003951	0.003293	0.162775	0.710738	0.097949	0.021295
0.127198	0.014946	0.012447	0.096744	0.749582	0.103728	0.022552
0.179723	0.005022	0.004271	0.058370	0.796896	0.111252	0.024189
0.124779	0.013529	0.012514	0.033678	0.801464	0.114022	0.024794
0.166796	0.022371	0.027109	0.020552	0.787694	0.116860	0.025414
0.160217	0.027199	0.053979	0.015825	0.752984	0.123213	0.026801
0.142428	0.485592	0.513824	0.000009	0.000456	0.000098	0.000021
0.434475	0.487495	0.512505	0.000000	0.000000	0.000000	0.000000R
0.713438	0.458800	0.541200	0.000000	0.000000	0.000000	0.000000
0.701179	0.382567	0.617433	0.000000	0.000000	0.000000	0.000000
0.640908	0.139813	0.860187	0.000000	0.000000	0.000000	0.000000
0.694046	0.083751	0.916249	0.000000	0.000000	0.000000	0.000000
0.534079	0.048997	0.951003	0.000000	0.000000	0.000000	0.000000
0.700785	0.028352	0.971648	0.000000	0.000000	0.000000	0.000000
0.629306	0.016421	0.983579	0.000000	0.000000	0.000000	0.000000
0.658514	0.009677	0.990323	0.000000	0.000000	0.000000	0.000000
0.644653	0.006000	0.994000	0.000000	0.000000	0.000000	0.000000
0.695285	0.004350	0.995650	0.000000	0.000000	0.000000	0.000000
0.647051	0.009997	0.988841	0.001086	0.000073	0.000000	0.000004
0.447127	0.000002	0.000235	0.933900	0.062710	0.000121	0.003033
0.152806	0.000269	0.000222	0.958906	0.038657	0.000075	0.001871
0.196377	0.000585	0.000479	0.953688	0.043078	0.000084	0.002085
0.170269	0.416575	0.340968	0.227661	0.014086	0.000028	0.000682
0.310554	0.545324	0.454676	0.000000	0.000000	0.000000	0.000000
0.677052	0.533270	0.466730	0.000000	0.000000	0.000000	0.000000
0.586020	0.489008	0.510992	0.000000	0.000000	0.000000	0.000000
0.617343	0.388050	0.611950	0.000000	0.000000	0.000000	0.000000
0.664619	0.147541	0.852459	0.000000	0.000000	0.000000	0.000000
0.667107	0.056190	0.943810	0.000000	0.000000	0.000000	0.000000
0.633078	0.034225	0.965775	0.000000	0.000000	0.000000	0.000000
0.662119	0.020620	0.979380	0.000000	0.000000	0.000000	0.000000
0.669130	0.012138	0.987862	0.000000	0.000000	0.000000	0.000000
0.646058	0.007599	0.992401	0.000000	0.000000	0.000000	0.000000
0.697838	0.005410	0.994590	0.000000	0.000000	0.000000	0.000000
0.625788	0.004027	0.995973	0.000000	0.000000	0.000000	0.000000
0.554211	0.000000	0.000062	0.579987	0.403725	0.000117	0.016109
0.164187	0.000006	0.000005	0.572612	0.419845	0.000087	0.007445
0.141167	0.000209	0.000171	0.572047	0.419113	0.000098	0.008363
0.169848	0.090151	0.073783	0.388167	0.439032	0.000103	0.008765
0.272837	0.553428	0.446572	0.000000	0.000000	0.000000	0.000000
0.617268	0.548129	0.451871	0.000000	0.000000	0.000000	0.000000
0.661637	0.507993	0.492007	0.000000	0.000000	0.000000	0.000000
0.619561	0.460517	0.539483	0.000000	0.000000	0.000000	0.000000
0.537031	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.676526	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.609961	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
