0.179882	0.002157	0.987469	0.002057	0.007854	0.000268	0.000195
0.241008	0.000858	0.998491	0.000194	0.000435	0.000013	0.000010
0.249572	0.000625	0.999075	0.000169	0.000130	0.000001	0.000000
0.258158	0.000002	0.999326	0.000396	0.000272	0.000003	0.000001
0.252253	0.000005	0.996883	0.001826	0.001266	0.000000	0.000020
0.215478	0.000026	0.999635	0.000198	0.000136	0.000000	0.000004
0.329113	0.000009	0.995647	0.002520	0.001754	0.000000	0.000070
0.257765	0.000046	0.967436	0.018889	0.013106	0.000000	0.000523
0.213346	0.009807	0.007716	0.570705	0.395975	0.000000	0.015797
0.292835	0.180669	0.148857	0.402443	0.263355	0.000006	0.004670
0.240985	0.393964	0.318942	0.166317	0.118509	0.000150	0.002118
0.218172	0.515483	0.458654	0.013951	0.011450	0.000229	0.000233
0.245613	0.370579	0.581716	0.027268	0.016459	0.003245	0.000733
0.212976	0.088191	0.902607	0.005344	0.003085	0.000635	0.000138
0.300437	0.050871	0.937291	0.006895	0.003972	0.000797	0.000173
0.179932	0.028996	0.968682	0.001351	0.000792	0.000147	0.000032
0.230602	0.016098	0.983479	0.000246	0.000150	0.000021	0.000005
0.281256	0.008993	0.989610	0.000818	0.000528	0.000042	0.000009
0.227841	0.005069	0.990625	0.002522	0.001700	0.000056	0.000028
0.192981	0.002907	0.991465	0.003277	0.002261	0.000026	0.000063
0.203824	0.001724	0.997287	0.000574	0.000399	0.000001	0.000015
0.305246	0.001089	0.986940	0.006943	0.004830	0.000004	0.000193
0.232547	0.001451	0.954392	0.025611	0.017833	0.000002	0.000711
0.282130	0.003204	0.904007	0.053811	0.037479	0.000004	0.001495
0.277961	0.003821	0.929408	0.039273	0.026430	0.000013	0.001055
0.225520	0.003395	0.941038	0.032563	0.022111	0.000012	0.000882
0.232225	0.003255	0.956541	0.023525	0.016031	0.000008	0.000640
0.245672	0.002927	0.932234	0.037851	0.025941	0.000013	0.001035
0.224256	0.003198	0.949778	0.027562	0.018706	0.000009	0.000746
0.239406	0.002863	0.939007	0.033968	0.023224	0.000011	0.000927
0.229213	0.007010	0.992990	0.000000	0.000000	0.000000	0.000000
0.726261	0.047929	0.952071	0.000000	0.000000	0.000000	0.000000
0.686801	0.778701	0.221299	0.000000	0.000000	0.000000	0.000000
